Label,SourceImage,CandidateType,CurrentGuess,CrackProbability,UserVerdict
551,260622_316_H_b2_back_CBS_01,original,True,0.501,TRUE
500230,260622_316_H_b2_back_CBS_01,bridge_corridor,,0.5,TRUE
500057,260622_316_H_b2_back_CBS_01,concavity,,0.5,TRUE
500113,260622_316_H_b2_back_CBS_01,concavity,,0.5,TRUE
500309,260622_316_H_b2_back_CBS_01,interior_fill,,0.5,TRUE
565,260622_316_H_b2_front_CBS_01,original,True,0.501,FALSE
409,260622_316_H_b2_front_CBS_01,original,True,0.503,TRUE
500174,260622_316_H_b2_front_CBS_01,bridge_corridor,,0.5,TRUE
500056,260622_316_H_b2_front_CBS_01,concavity,,0.5,TRUE
500111,260622_316_H_b2_front_CBS_01,concavity,,0.5,TRUE
500293,260622_316_H_b2_front_CBS_01,interior_fill,,0.5,TRUE
500262,260622_316_H_b2_front_CBS_01,interior_fill,,0.5,TRUE
322,260622_316_H_b2_front_CBS_02,original,False,0.498,TRUE
56,260622_316_H_b2_front_CBS_02,original,False,0.498,TRUE
543,260622_316_H_b2_front_CBS_02,original,False,0.497,TRUE
172,260622_316_H_b2_front_CBS_02,original,True,0.504,TRUE
257,260622_316_H_b2_front_CBS_02,original,True,0.506,TRUE
84,260622_316_H_b2_front_CBS_03,original,False,0.499,TRUE
86,260622_316_H_b2_front_CBS_03,original,False,0.496,TRUE
63,260622_316_H_b2_front_CBS_03,original,True,0.504,TRUE
500051,260622_316_H_b2_front_CBS_03,bridge_corridor,,0.5,TRUE
500017,260622_316_H_b2_front_CBS_03,concavity,,0.5,TRUE
500073,260622_316_H_b2_front_CBS_03,interior_fill,,0.5,TRUE
33,260622_316_H_b2_front_CBS_04,original,True,0.503,SKIP
500035,260622_316_H_b2_front_CBS_04,concavity,,0.5,TRUE
500012,260622_316_H_b2_front_CBS_04,concavity,,0.5,TRUE
449,260622_316_H_b4_CBS_01,original,True,0.506,TRUE
635,260622_316_H_b4_CBS_01,original,False,0.494,TRUE
500310,260622_316_H_b4_CBS_01,interior_fill,,0.5,TRUE
524,260622_316_H_b4_CBS_02,original,False,0.499,TRUE
169,260622_316_H_b4_CBS_02,original,True,0.506,TRUE
185,260622_316_H_b4_CBS_02,original,False,0.494,TRUE
384,260622_316_H_b4_CBS_02,original,True,0.506,FALSE
500074,260622_316_H_b4_CBS_02,concavity,,0.5,TRUE
500179,260622_316_H_b4_CBS_02,interior_fill,,0.5,TRUE
500339,260622_316_H_b4_CBS_02,interior_fill,,0.5,TRUE
500243,260622_316_H_b4_CBS_02,interior_fill,,0.5,TRUE
79,260622_316_amb_b3_CBS_01,original,False,0.499,FALSE
500020,260622_316_amb_b3_CBS_01,concavity,,0.5,TRUE
500029,260622_316_amb_b3_CBS_01,concavity,,0.5,TRUE
500046,260622_316_amb_b3_CBS_01,concavity,,0.5,TRUE
500025,260622_316_amb_b3_CBS_02,concavity,,0.5,TRUE
500005,260708_316_H_b2_front_CBS_001,interior_fill,,0.5,TRUE
282,260708_316_H_b2_front_CBS_002,original,False,0.497,TRUE
500057,260708_316_H_b2_front_CBS_002,bridge_corridor,,0.5,FALSE
142,260708_316_H_b2_front_CBS_003,original,True,0.505,TRUE
500136,260708_316_H_b2_front_CBS_003,bridge_corridor,,0.5,TRUE
500034,260708_316_H_b2_front_CBS_003,concavity,,0.5,TRUE
500090,260708_316_H_b2_front_CBS_003,concavity,,0.5,FALSE
109,260708_316_H_b2_front_CBS_004,original,False,0.494,TRUE
147,260708_316_H_b2_front_CBS_004,original,False,0.494,FALSE
217,260708_316_H_b2_front_CBS_005,original,True,0.504,TRUE
500126,260708_316_H_b2_front_CBS_005,bridge_corridor,,0.5,TRUE
500123,260708_316_H_b2_front_CBS_005,bridge_corridor,,0.5,TRUE
500138,260708_316_H_b2_front_CBS_005,interior_fill,,0.5,TRUE
500111,260708_316_H_b2_front_CBS_007,bridge_corridor,,0.5,FALSE
500020,260708_316_H_b2_front_CBS_007,concavity,,0.5,TRUE
500117,260708_316_H_b2_front_CBS_007,interior_fill,,0.5,TRUE
500071,260708_316_H_b2_front_CBS_008,bridge_corridor,,0.5,TRUE
500035,260708_316_H_b2_front_CBS_008,concavity,,0.5,FALSE
161,260708_316_H_b2_front_CBS_009,original,False,0.498,TRUE
128,260708_316_H_b2_front_CBS_011,original,False,0.496,TRUE
500106,260708_316_H_b2_front_CBS_011,bridge_corridor,,0.5,TRUE
60,260708_316_H_b2_front_CBS_013,original,False,0.493,TRUE
500028,260708_316_H_b2_front_CBS_013,concavity,,0.5,TRUE
500004,260708_316_H_b2_front_CBS_013,concavity,,0.5,TRUE
500013,260708_316_H_b2_front_CBS_014,concavity,,0.5,SKIP
12,260708_316_H_b2_front_CBS_015,original,False,0.496,FALSE
307,260708_316_H_b2_front_CBS_016,original,True,0.503,TRUE
175,260708_316_H_b2_front_CBS_016,original,False,0.497,TRUE
500141,260708_316_H_b2_front_CBS_016,bridge_corridor,,0.5,TRUE
500123,260708_316_H_b2_front_CBS_016,bridge_corridor,,0.5,TRUE
500076,260708_316_H_b2_front_CBS_016,concavity,,0.5,TRUE
500156,260708_316_H_b2_front_CBS_016,interior_fill,,0.5,TRUE
