Label,SourceImage,CandidateType,CurrentGuess,CrackProbability,UserVerdict,UserVerdictBool
358,260622_316_H_b2_back_CBS_01,original,True,0.507,TRUE,True
675,260622_316_H_b2_back_CBS_01,original,True,0.508,TRUE,True
500232,260622_316_H_b2_back_CBS_01,bridge_corridor,,0.5,TRUE,True
500207,260622_316_H_b2_back_CBS_01,concavity,,0.5,TRUE,True
500042,260622_316_H_b2_back_CBS_01,concavity,,0.5,TRUE,True
500087,260622_316_H_b2_back_CBS_01,concavity,,0.5,TRUE,True
500064,260622_316_H_b2_back_CBS_01,concavity,,0.5,TRUE,True
500147,260622_316_H_b2_back_CBS_01,concavity,,0.5,TRUE,True
500299,260622_316_H_b2_back_CBS_01,interior_fill,,0.5,SKIP,
500381,260622_316_H_b2_back_CBS_01,interior_fill,,0.5,TRUE,True
500331,260622_316_H_b2_back_CBS_01,interior_fill,,0.5,FALSE,False
500251,260622_316_H_b2_back_CBS_01,interior_fill,,0.5,TRUE,True
500114,260622_316_H_b2_front_CBS_01,concavity,,0.5,FALSE,False
500154,260622_316_H_b2_front_CBS_01,concavity,,0.5,FALSE,False
500245,260622_316_H_b2_front_CBS_01,interior_fill,,0.5,TRUE,True
500332,260622_316_H_b2_front_CBS_01,interior_fill,,0.5,TRUE,True
500306,260622_316_H_b2_front_CBS_01,interior_fill,,0.5,TRUE,True
500344,260622_316_H_b2_front_CBS_01,interior_fill,,0.5,TRUE,True
488,260622_316_H_b2_front_CBS_02,original,False,0.492,TRUE,True
153,260622_316_H_b2_front_CBS_02,original,False,0.492,TRUE,True
500109,260622_316_H_b2_front_CBS_02,bridge_corridor,,0.5,TRUE,True
500069,260622_316_H_b2_front_CBS_02,concavity,,0.5,TRUE,True
500190,260622_316_H_b2_front_CBS_02,interior_fill,,0.5,TRUE,True
500200,260622_316_H_b2_front_CBS_02,interior_fill,,0.5,TRUE,True
500206,260622_316_H_b2_front_CBS_02,interior_fill,,0.5,FALSE,False
500211,260622_316_H_b2_front_CBS_02,interior_fill,,0.5,TRUE,True
500053,260622_316_H_b2_front_CBS_03,bridge_corridor,,0.5,TRUE,True
500014,260622_316_H_b2_front_CBS_03,concavity,,0.5,TRUE,True
500080,260622_316_H_b2_front_CBS_03,interior_fill,,0.5,TRUE,True
225,260622_316_H_b2_front_CBS_04,original,False,0.493,FALSE,False
500180,260622_316_H_b2_front_CBS_04,bridge_corridor,,0.5,TRUE,True
500178,260622_316_H_b2_front_CBS_04,bridge_corridor,,0.5,FALSE,False
500099,260622_316_H_b2_front_CBS_04,concavity,,0.5,FALSE,False
500143,260622_316_H_b2_front_CBS_04,concavity,,0.5,TRUE,True
500215,260622_316_H_b2_front_CBS_04,interior_fill,,0.5,TRUE,True
500217,260622_316_H_b2_front_CBS_04,interior_fill,,0.5,TRUE,True
392,260622_316_H_b4_CBS_01,original,False,0.493,TRUE,True
348,260622_316_H_b4_CBS_01,original,False,0.492,TRUE,True
500181,260622_316_H_b4_CBS_01,bridge_corridor,,0.5,TRUE,True
500185,260622_316_H_b4_CBS_01,bridge_corridor,,0.5,TRUE,True
500080,260622_316_H_b4_CBS_01,concavity,,0.5,TRUE,True
500031,260622_316_H_b4_CBS_01,concavity,,0.5,TRUE,True
